text,labels
"10 quả xoài chia đều cho 2 người, mỗi người nhận được bao nhiêu quả?","basic_word"
"15 quả dứa + 7 quả dứa = ?","basic_word"
"8 quả kiwi * 9 = ?","basic_word"
"20 quả dâu - 13 quả dâu = ?","basic_word"
"6 quả táo và 4 quả táo tổng cộng là bao nhiêu?","basic_word"
"Có 25 quả cam chia đều cho 5 người, mỗi người được bao nhiêu quả?","basic_word"
"7 quả chuối + 8 quả chuối = ?","basic_word"
"16 quả nho * 3 = ?","basic_word"
"30 quả dưa - 12 quả dưa = ?","basic_word"
"40 quả lê chia đều cho 8 người, mỗi người được mấy quả?","basic_word"
"4 quả xoài + 5 quả xoài * 2 = ?","basic_word"
"9 quả dứa và 6 quả dứa tổng cộng là bao nhiêu?","basic_word"
"Có 45 quả kiwi, chia đều cho 9 người, mỗi người được mấy quả?","basic_word"
"11 quả dâu + 13 quả dâu = ?","basic_word"
"3 quả mận * 7 = ?","basic_word"
"18 quả bưởi - 5 quả bưởi = ?","basic_word"
"24 quả ổi / 6 = ?","basic_word"
"Có 5 quả táo và thêm 3 quả táo nữa, tổng cộng là bao nhiêu?","basic_word"
"14 quả cam chia đều cho 2 người, mỗi người nhận được mấy quả?","basic_word"
"10 quả chuối + 15 quả chuối = ?","basic_word"
"7 quả nho * 6 = ?","basic_word"
"28 quả dưa - 9 quả dưa = ?","basic_word"
"32 quả lê / 8 = ?","basic_word"
"2 quả xoài + 4 quả xoài * 3 = ?","basic_word"
"13 quả dứa và 8 quả dứa tổng cộng là mấy quả?","basic_word"
"50 quả kiwi chia đều cho 10 người, mỗi người được bao nhiêu quả?","basic_word"
"16 quả dâu + 9 quả dâu = ?","basic_word"
"5 quả mận * 8 = ?","basic_word"
"22 quả bưởi - 7 quả bưởi = ?","basic_word"
"36 quả ổi / 9 = ?","basic_word"
"8 quả táo và 6 quả táo tổng cộng là mấy quả?","basic_word"
"20 quả cam chia đều cho 4 người, mỗi người được bao nhiêu quả?","basic_word"
"12 quả chuối + 18 quả chuối = ?","basic_word"
"9 quả nho * 5 = ?","basic_word"
"35 quả dưa - 15 quả dưa = ?","basic_word"
"40 quả lê / 5 = ?","basic_word"
"6 quả xoài + 7 quả xoài * 2 = ?","basic_word"
"17 quả dứa và 11 quả dứa tổng cộng là bao nhiêu?","basic_word"
"60 quả kiwi chia đều cho 12 người, mỗi người được mấy quả?","basic_word"
"19 quả dâu + 16 quả dâu = ?","basic_word"
"7 quả mận * 6 = ?","basic_word"
"25 quả bưởi - 8 quả bưởi = ?","basic_word"
"42 quả ổi / 7 = ?","basic_word"
"Có 9 quả táo và thêm 7 quả táo nữa, tổng cộng là mấy quả?","basic_word"
"30 quả cam chia đều cho 6 người, mỗi người nhận được bao nhiêu quả?","basic_word"
"14 quả chuối + 21 quả chuối = ?","basic_word"
"8 quả nho * 8 = ?","basic_word"
"40 quả dưa - 18 quả dưa = ?","basic_word"
"48 quả lê / 6 = ?","basic_word"
"5 quả xoài + 6 quả xoài * 3 = ?","basic_word"
"20 quả dứa và 13 quả dứa tổng cộng là mấy quả?","basic_word"
"70 quả kiwi chia đều cho 14 người, mỗi người được bao nhiêu quả?","basic_word"
"22 quả dâu + 19 quả dâu = ?","basic_word"
"9 quả mận * 5 = ?","basic_word"
"28 quả bưởi - 11 quả bưởi = ?","basic_word"
"45 quả ổi / 9 = ?","basic_word"
"11 quả táo và 8 quả táo tổng cộng là bao nhiêu?","basic_word"
"35 quả cam chia đều cho 7 người, mỗi người được mấy quả?","basic_word"
"16 quả chuối + 24 quả chuối = ?","basic_word"
"10 quả nho * 7 = ?","basic_word"
"45 quả dưa - 21 quả dưa = ?","basic_word"
"54 quả lê / 9 = ?","basic_word"
"7 quả xoài + 8 quả xoài * 2 = ?","basic_word"
"23 quả dứa và 15 quả dứa tổng cộng là bao nhiêu?","basic_word"
"80 quả kiwi chia đều cho 16 người, mỗi người được mấy quả?","basic_word"
"25 quả dâu + 22 quả dâu = ?","basic_word"
"11 quả mận * 4 = ?","basic_word"
"32 quả bưởi - 13 quả bưởi = ?","basic_word"
"50 quả ổi / 10 = ?","basic_word"
"Có 13 quả táo và thêm 9 quả táo nữa, tổng cộng là bao nhiêu?","basic_word"
"40 quả cam chia đều cho 8 người, mỗi người nhận được mấy quả?","basic_word"
"18 quả chuối + 27 quả chuối = ?","basic_word"
"12 quả nho * 6 = ?","basic_word"
"50 quả dưa - 23 quả dưa = ","basic_word"
"56 quả lê / 7 = ?","basic_word"
"8 quả xoài + 9 quả xoài * 2 = ?","basic_word"
"26 quả dứa và 17 quả dứa tổng cộng là mấy quả?","basic_word"
"90 quả kiwi chia đều cho 18 người, mỗi người được bao nhiêu quả?","basic_word"
"28 quả dâu + 25 quả dâu = ?","basic_word"
"13 quả mận * 3 = ?","basic_word"
"35 quả bưởi - 16 quả bưởi = ?","basic_word"
"63 quả ổi / 9 = ?","basic_word"
"15 quả táo và 11 quả táo tổng cộng là bao nhiêu?","basic_word"
"45 quả cam chia đều cho 9 người, mỗi người được mấy quả?","basic_word"
"20 quả chuối + 30 quả chuối = ?","basic_word"
"14 quả nho * 5 = ?","basic_word"
"55 quả dưa - 25 quả dưa = ?","basic_word"
"64 quả lê / 8 = ?","basic_word"
"9 quả xoài + 10 quả xoài * 2 = ","basic_word"
"29 quả dứa và 19 quả dứa tổng cộng là bao nhiêu?","basic_word"
"100 quả kiwi chia đều cho 20 người, mỗi người được mấy quả?","basic_word"
"31 quả dâu + 28 quả dâu = ?","basic_word"
"15 quả mận * 2 = ?","basic_word"
"38 quả bưởi - 19 quả bưởi = ?","basic_word"
"70 quả ổi / 10 = ?","basic_word"
"17 quả táo và 13 quả táo tổng cộng là mấy quả?","basic_word"
"50 quả cam chia đều cho 10 người, mỗi người nhận được bao nhiêu quả?","basic_word"
"22 quả chuối + 33 quả chuối = ?","basic_word"
"16 quả nho * 4 = ?","basic_word"
"60 quả dưa - 27 quả dưa = ?","basic_word"
"1 quả bom + 1 quả bom ","basic_word"
"2 con vịt + 2 con vịt ","basic_word"
"3 cái bánh + 3 cái bánh ","basic_word"
"4 con mèo + 4 con mèo ","basic_word"
"5 con gà + 5 con gà ","basic_word"
"6 con chó + 6 con chó ","basic_word"
"7 con cá + 7 con cá ","basic_word"
"8 con bướm + 8 con bướm ","basic_word"
"9 con nhện + 9 con nhện ","basic_word"
"10 con ong + 10 con ong ","basic_word"
"1 cái thìa + 1 cái thìa ","basic_word"
"2 cái nĩa + 2 cái nĩa ","basic_word"
"3 cái đĩa + 3 cái đĩa ","basic_word"
"4 cái cốc + 4 cái cốc ","basic_word"
"5 cái bát + 5 cái bát ","basic_word"
"6 cái chén + 6 cái chén ","basic_word"
"7 cái ly + 7 cái ly ","basic_word"
"8 cái bình + 8 cái bình ","basic_word"
"9 cái hộp + 9 cái hộp ","basic_word"
"10 cái túi + 10 cái túi ","basic_word"
"33 con gà + 27 con gà = ","basic_word"
"10 viên đá + 15 viên đá = ?","basic_word"
"25 cái bánh + 30 cái bánh = ?","basic_word"
"12 hòn đá + 18 hòn đá = ?","basic_word"
"10 viên đá + 15 viên đá = ?","basic_word"
"25 cái bánh + 30 cái bánh = ?","basic_word"
"12 hòn đá + 18 hòn đá = ","basic_word"
"10 viên đá + 15 viên đá ","basic_word"
"25 cái bánh + 30 cái bánh = ?","basic_word"
"12 hòn đá + 18 hòn đá = ?","basic_word"
"10 viên đá + 15 viên đá ","basic_word"
"25 cái bánh + 30 cái bánh = ?","basic_word"
"12 hòn đá + 18 hòn đá ","basic_word"
"22 quả táo + 18 quả táo bằng mấy ?","basic_word"
"15 con vịt + 10 con vịt bằng mấy ?","basic_word"
"8 cái bánh + 12 cái bánh bằng mấy ?","basic_word"
"14 con mèo + 6 con mèo bằng bao nhiêu ?","basic_word"
"9 con gà + 11 con gà bằng bao nhiêu ?","basic_word"
"7 con chó + 13 con chó bằng bao nhiêu ?","basic_word"
"5 con cá + 15 con cá bằng bao nhiêu ?","basic_word"
"18 con bướm + 12 con bướm bằng bao nhiêu ?","basic_word"
"20 con nhện + 10 con nhện bằng bao nhiêu ?","basic_word"
"16 con ong + 14 con ong bằng bao nhiêu ?","basic_word"
"25 cái thìa + 15 cái thìa bằng bao nhiêu ?","basic_word"
"30 cái nĩa + 20 cái nĩa bằng bao nhiêu ?","basic_word"
"18 cái đĩa + 12 cái đĩa bằng bao nhiêu ?","basic_word"
"22 cái cốc + 18 cái cốc bằng bao nhiêu ?","basic_word"
"14 cái bát + 16 cái bát bằng bao nhiêu ?","basic_word"
"19 cái chén + 11 cái chén bằng bao nhiêu ?","basic_word"
"17 cái ly + 13 cái ly bằng mấy ?","basic_word"
"21 cái bình + 9 cái bình bằng mấy ?","basic_word"
"24 cái hộp + 6 cái hộp bằng mấy ?","basic_word"

"lan có 3 quả táo, mẹ cho thêm 4 quả táo nữa. Lan có tất cả bao nhiêu quả táo?","ownership"
"bố có 5 quả cam, bố ăn mất 2 quả cam. Bố còn lại bao nhiêu quả cam?","ownership"
"chị có 10 quả chuối, chị cho em 3 quả chuối. Chị còn lại bao nhiêu quả chuối?","ownership"
"Nam có 8 quả nho, Nam chia đều cho 4 người bạn. Mỗi bạn nhận được bao nhiêu quả nho?","ownership"
"cô có 12 quả dưa, cô tặng bạn 5 quả dưa. Cô còn lại bao nhiêu quả dưa?","ownership"
"lan có 3 quả cam, nam cho thêm 2 quả cam nữa. Lan có tất cả bao nhiêu quả cam?","ownership"
"lan có 2 quả cam, nam có 4 quả cam. Hỏi cả hai có tất cả bao nhiêu quả cam?","ownership"
"Hoa có 5 quả táo, bà cho thêm 3 quả táo nữa. Hoa có tất cả bao nhiêu quả táo?","ownership"
"Mai có 8 quả cam, Mai cho Linh 3 quả cam. Mai còn lại bao nhiêu quả cam?","ownership"
"anh có 15 quả chuối, anh chia đều cho 3 em. Mỗi em được bao nhiêu quả chuối?","ownership"
"Tuấn có 6 quả nho, bố cho thêm 4 quả nho. Tuấn có tất cả bao nhiêu quả nho?","ownership"
"Hùng có 10 quả dưa, Hùng ăn mất 4 quả dưa. Hùng còn lại bao nhiêu quả dưa?","ownership"
"Minh có 7 quả lê, chị cho thêm 5 quả lê. Minh có tất cả bao nhiêu quả lê?","ownership"
"An có 4 quả xoài, Bình có 6 quả xoài. Hỏi cả hai có tất cả bao nhiêu quả xoài?","ownership"
"Tú có 9 quả dứa, Tú cho em 2 quả dứa. Tú còn lại bao nhiêu quả dứa?","ownership"
"Nga có 12 quả kiwi, Nga chia đều cho 3 bạn. Mỗi bạn được bao nhiêu quả kiwi?","ownership"
"bé có 6 quả dâu, mẹ cho thêm 8 quả dâu. Bé có tất cả bao nhiêu quả dâu?","ownership"
"Phương có 14 quả mận, Phương cho Hương 6 quả mận. Phương còn lại bao nhiêu quả mận?","ownership"
"ông có 20 quả bưởi, ông chia đều cho 4 cháu. Mỗi cháu được bao nhiêu quả bưởi?","ownership"
"Thảo có 5 quả ổi, Lan có 7 quả ổi. Hỏi cả hai có tất cả bao nhiêu quả ổi?","ownership"
"Hạnh có 8 quả táo, em cho thêm 3 quả táo. Hạnh có tất cả bao nhiêu quả táo?","ownership"
"Dũng có 16 quả cam, Dũng chia đều cho 4 bạn. Mỗi bạn được bao nhiêu quả cam?","ownership"
"Yến có 11 quả chuối, Yến cho Mai 4 quả chuối. Yến còn lại bao nhiêu quả chuối?","ownership"
"Tâm có 7 quả nho, Hoa có 5 quả nho. Hỏi cả hai có tất cả bao nhiêu quả nho?","ownership"
"Quân có 13 quả dưa, Quân ăn mất 5 quả dưa. Quân còn lại bao nhiêu quả dưa?","ownership"
"Thư có 6 quả lê, bà cho thêm 6 quả lê. Thư có tất cả bao nhiêu quả lê?","ownership"
"Hiền có 18 quả xoài, Hiền chia đều cho 6 em. Mỗi em được bao nhiêu quả xoài?","ownership"
"Trung có 9 quả dứa, anh cho thêm 4 quả dứa. Trung có tất cả bao nhiêu quả dứa?","ownership"
"Linh có 15 quả kiwi, Linh cho bạn 7 quả kiwi. Linh còn lại bao nhiêu quả kiwi?","ownership"
"Hải có 8 quả dâu, Nam có 6 quả dâu. Hỏi cả hai có tất cả bao nhiêu quả dâu?","ownership"
"Vân có 10 quả mận, mẹ cho thêm 5 quả mận. Vân có tất cả bao nhiêu quả mận?","ownership"
"Đức có 24 quả bưởi, Đức chia đều cho 6 người. Mỗi người được bao nhiêu quả bưởi?","ownership"
"Thu có 7 quả ổi, Thu cho em 3 quả ổi. Thu còn lại bao nhiêu quả ổi?","ownership"
"Long có 12 quả táo, bố cho thêm 6 quả táo. Long có tất cả bao nhiêu quả táo?","ownership"
"Hương có 20 quả cam, Hương chia đều cho 5 bạn. Mỗi bạn được bao nhiêu quả cam?","ownership"
"Bình có 9 quả chuối, Minh có 7 quả chuối. Hỏi cả hai có tất cả bao nhiêu quả chuối?","ownership"
"Trang có 14 quả nho, Trang cho chị 6 quả nho. Trang còn lại bao nhiêu quả nho?","ownership"
"Phong có 8 quả dưa, mẹ cho thêm 7 quả dưa. Phong có tất cả bao nhiêu quả dưa?","ownership"
"Thắng có 16 quả lê, Thắng chia đều cho 4 em. Mỗi em được bao nhiêu quả lê?","ownership"
"Ngọc có 11 quả xoài, Ngọc ăn mất 4 quả xoài. Ngọc còn lại bao nhiêu quả xoài?","ownership"
"Hoàng có 6 quả dứa, Lan có 8 quả dứa. Hỏi cả hai có tất cả bao nhiêu quả dứa?","ownership"
"Mai có 15 quả kiwi, Mai cho bạn 5 quả kiwi. Mai còn lại bao nhiêu quả kiwi?","ownership"
"Tuấn có 9 quả dâu, chị cho thêm 4 quả dâu. Tuấn có tất cả bao nhiêu quả dâu?","ownership"
"Hà có 22 quả mận, Hà chia đều cho 11 người. Mỗi người được bao nhiêu quả mận?","ownership"
"Đạt có 13 quả bưởi, Đạt cho bố 5 quả bưởi. Đạt còn lại bao nhiêu quả bưởi?","ownership"
"Hồng có 7 quả ổi, Huy có 9 quả ổi. Hỏi cả hai có tất cả bao nhiêu quả ổi?","ownership"
"Nam có 10 quả táo, anh cho thêm 8 quả táo. Nam có tất cả bao nhiêu quả táo?","ownership"
"Lan có 21 quả cam, Lan chia đều cho 3 bạn. Mỗi bạn được bao nhiêu quả cam?","ownership"
"Minh có 12 quả chuối, Minh cho em 4 quả chuối. Minh còn lại bao nhiêu quả chuối?","ownership"
"Hải có 8 quả nho, Thảo có 6 quả nho. Hỏi cả hai có tất cả bao nhiêu quả nho?","ownership"
"Quang có 15 quả dưa, Quang ăn mất 6 quả dưa. Quang còn lại bao nhiêu quả dưa?","ownership"
"Thúy có 9 quả lê, mẹ cho thêm 5 quả lê. Thúy có tất cả bao nhiêu quả lê?","ownership"
"Dũng có 28 quả xoài, Dũng chia đều cho 7 người. Mỗi người được bao nhiêu quả xoài?","ownership"
"Yến có 11 quả dứa, Yến cho chị 3 quả dứa. Yến còn lại bao nhiêu quả dứa?","ownership"
"Tùng có 6 quả kiwi, Hoa có 8 quả kiwi. Hỏi cả hai có tất cả bao nhiêu quả kiwi?","ownership"
"Linh có 14 quả dâu, bà cho thêm 6 quả dâu. Linh có tất cả bao nhiêu quả dâu?","ownership"
"Phương có 25 quả mận, Phương chia đều cho 5 bạn. Mỗi bạn được bao nhiêu quả mận?","ownership"
"Trung có 16 quả bưởi, Trung cho cô 4 quả bưởi. Trung còn lại bao nhiêu quả bưởi?","ownership"
"An có 7 quả ổi, Bình có 5 quả ổi. Hỏi cả hai có tất cả bao nhiêu quả ổi?","ownership"
"Hương có 13 quả táo, chị cho thêm 7 quả táo. Hương có tất cả bao nhiêu quả táo?","ownership"
"Đức có 30 quả cam, Đức chia đều cho 6 em. Mỗi em được bao nhiêu quả cam?","ownership"
"Thu có 17 quả chuối, Thu cho bạn 8 quả chuối. Thu còn lại bao nhiêu quả chuối?","ownership"
"Long có 9 quả nho, Mai có 7 quả nho. Hỏi cả hai có tất cả bao nhiêu quả nho?","ownership"
"Vân có 18 quả dưa, Vân ăn mất 5 quả dưa. Vân còn lại bao nhiêu quả dưa?","ownership"
"Tâm có 8 quả lê, bố cho thêm 6 quả lê. Tâm có tất cả bao nhiêu quả lê?","ownership"
"Hoàng có 27 quả xoài, Hoàng chia đều cho 9 người. Mỗi người được bao nhiêu quả xoài?","ownership"
"Ngọc có 12 quả dứa, Ngọc cho em 4 quả dứa. Ngọc còn lại bao nhiêu quả dứa?","ownership"
"Hùng có 6 quả kiwi, Lan có 9 quả kiwi. Hỏi cả hai có tất cả bao nhiêu quả kiwi?","ownership"
"Thư có 15 quả dâu, mẹ cho thêm 5 quả dâu. Thư có tất cả bao nhiêu quả dâu?","ownership"
"Minh có 24 quả mận, Minh chia đều cho 8 bạn. Mỗi bạn được bao nhiêu quả mận?","ownership"
"Hạnh có 19 quả bưởi, Hạnh cho chị 7 quả bưởi. Hạnh còn lại bao nhiêu quả bưởi?","ownership"
"Tuấn có 8 quả ổi, Nam có 6 quả ổi. Hỏi cả hai có tất cả bao nhiêu quả ổi?","ownership"
"Nga có 14 quả táo, anh cho thêm 6 quả táo. Nga có tất cả bao nhiêu quả táo?","ownership"
"Phong có 32 quả cam, Phong chia đều cho 8 người. Mỗi người được bao nhiêu quả cam?","ownership"
"Trang có 16 quả chuối, Trang cho bạn 6 quả chuối. Trang còn lại bao nhiêu quả chuối?","ownership"
"Đạt có 7 quả nho, Hoa có 8 quả nho. Hỏi cả hai có tất cả bao nhiêu quả nho?","ownership"
"Hồng có 20 quả dưa, Hồng ăn mất 8 quả dưa. Hồng còn lại bao nhiêu quả dưa?","ownership"
"Quân có 10 quả lê, bà cho thêm 7 quả lê. Quân có tất cả bao nhiêu quả lê?","ownership"
"Hiền có 35 quả xoài, Hiền chia đều cho 7 em. Mỗi em được bao nhiêu quả xoài?","ownership"
"Thắng có 13 quả dứa, Thắng cho cô 5 quả dứa. Thắng còn lại bao nhiêu quả dứa?","ownership"
"Yến có 9 quả kiwi, Thảo có 7 quả kiwi. Hỏi cả hai có tất cả bao nhiêu quả kiwi?","ownership"
"Mai có 16 quả dâu, chị cho thêm 4 quả dâu. Mai có tất cả bao nhiêu quả dâu?","ownership"
"Dũng có 28 quả mận, Dũng chia đều cho 4 bạn. Mỗi bạn được bao nhiêu quả mận?","ownership"
"Linh có 15 quả bưởi, Linh cho em 6 quả bưởi. Linh còn lại bao nhiêu quả bưởi?","ownership"
"Trung có 8 quả ổi, Huy có 9 quả ổi. Hỏi cả hai có tất cả bao nhiêu quả ổi?","ownership"
"Tú có 12 quả táo, mẹ cho thêm 8 quả táo. Tú có tất cả bao nhiêu quả táo?","ownership"
"Hương có 36 quả cam, Hương chia đều cho 9 người. Mỗi người được bao nhiêu quả cam?","ownership"
"An có 18 quả chuối, An cho bạn 7 quả chuối. An còn lại bao nhiêu quả chuối?","ownership"
"Bình có 6 quả nho, Long có 8 quả nho. Hỏi cả hai có tất cả bao nhiêu quả nho?","ownership"
"Thu có 22 quả dưa, Thu ăn mất 9 quả dưa. Thu còn lại bao nhiêu quả dưa?","ownership"
"Vân có 11 quả lê, bố cho thêm 5 quả lê. Vân có tất cả bao nhiêu quả lê?","ownership"
"Đức có 40 quả xoài, Đức chia đều cho 8 em. Mỗi em được bao nhiêu quả xoài?","ownership"
"Ngọc có 14 quả dứa, Ngọc cho chị 6 quả dứa. Ngọc còn lại bao nhiêu quả dứa?","ownership"
"Hoàng có 7 quả kiwi, Lan có 9 quả kiwi. Hỏi cả hai có tất cả bao nhiêu quả kiwi?","ownership"
"Phương có 17 quả dâu, anh cho thêm 5 quả dâu. Phương có tất cả bao nhiêu quả dâu?","ownership"
"Tâm có 30 quả mận, Tâm chia đều cho 6 bạn. Mỗi bạn được bao nhiêu quả mận?","ownership"
"Hải có 21 quả bưởi, Hải cho cô 8 quả bưởi. Hải còn lại bao nhiêu quả bưởi?","ownership"
"Thúy có 9 quả ổi, Minh có 7 quả ổi. Hỏi cả hai có tất cả bao nhiêu quả ổi?","ownership"
"tổng số táo của lan và nam là 10 quả, lan có 4 quả táo. Hỏi nam có bao nhiêu quả táo?","ownership"
"tổng số cam của hoa và mai là 12 quả, hoa có 5 quả cam. Hỏi mai có bao nhiêu quả cam?","ownership"
"tổng số chuối của anh và tuấn là 18 quả, anh có 7 quả chuối. Hỏi tuấn có bao nhiêu quả chuối?","ownership"
"tích số nho của hùng và minh là 48 quả, hùng có 6 quả nho. Hỏi minh có bao nhiêu quả nho?","ownership"
"tích số dưa của thảo và thư là 72 quả, thảo có 8 quả dưa. Hỏi thư có bao nhiêu quả dưa?","ownership"
"hiệu số lê của hạnh và tâm là 9 quả, hạnh có 14 quả lê. Hỏi tâm có bao nhiêu quả lê?","ownership"
"hiệu số xoài của vân và hoàng là 11 quả, vân có 20 quả xoài. Hỏi hoàng có bao nhiêu quả xoài?","ownership"
"thương số dứa của yến và ngọc là 36 quả, yến có 9 quả dứa. Hỏi ngọc có bao nhiêu quả dứa?","ownership"
"thương số kiwi của hương và hải là 16 quả, hương có 8 quả kiwi. Hỏi hải có bao nhiêu quả kiwi?","ownership"
"lan có 3 quả táo, mẹ cho thêm 4 quả táo nữa. Lan có tất cả bao nhiêu quả táo?","ownership"
"lan có 3 quả cam, nam có 6 quả cam. tổng cộng cả hai có bao nhiêu quả cam?","ownership"
"hải có 8 quả dâu, tâm có 5 quả dâu. tổng cộng cả hai có bao nhiêu quả dâu?","ownership"
"tú có 12 quả táo, phương có 7 quả táo. tích của cả hai có bao nhiêu quả táo?","ownership"
"minh có 15 quả chuối, anh có 4 quả chuối. tích của cả hai có bao nhiêu quả chuối?","ownership"
"thư có 6 quả lê, thảo có 9 quả lê. hiệu của cả hai có bao nhiêu quả lê?","ownership"
"đức có 20 quả cam, đức cho bạn 8 quả cam. đức còn lại bao nhiêu quả cam?","ownership"
"tú có 10 quả dưa, tú cho em 3 quả dưa. tú còn lại bao nhiêu quả dưa?","ownership"
"tổng số táo của hùng và minh là 15 quả, hùng có 6 quả táo. Hỏi minh có bao nhiêu quả táo?","ownership"
"tổng số cam của linh và hoa là 20 quả, linh có 8 quả cam. Hỏi hoa có bao nhiêu quả cam?","ownership"
"tổng số xoài của nam và tuấn là 25 quả, nam có 12 quả xoài. Hỏi tuấn có bao nhiêu quả xoài?","ownership"
"tích số dứa của phương và thảo là 54 quả, phương có 9 quả dứa. Hỏi thảo có bao nhiêu quả dứa?","ownership"
"tích số kiwi của hải và tâm là 40 quả, hải có 8 quả kiwi. Hỏi tâm có bao nhiêu quả kiwi?","ownership"
"tích số mận của đức và hoàng là 63 quả, đức có 7 quả mận. Hỏi hoàng có bao nhiêu quả mận?","ownership"
"hiệu số cam của thu và hạnh là 7 quả, thu có 15 quả cam. Hỏi hạnh có bao nhiêu quả cam?","ownership"
"hiệu số táo của quân và minh là 5 quả, quân có 13 quả táo. Hỏi minh có bao nhiêu quả táo?","ownership"
"hiệu số dưa của thắng và tú là 8 quả, thắng có 20 quả dưa. Hỏi tú có bao nhiêu quả dưa?","ownership"
"thương số xoài của đạt và tâm là 24 quả, đạt có 6 quả xoài. Hỏi tâm có bao nhiêu quả xoài?","ownership"
"thương số cam của hồng và mai là 30 quả, hồng có 5 quả cam. Hỏi mai có bao nhiêu quả cam?","ownership"
"thương số dứa của quân và hải là 42 quả, quân có 7 quả dứa. Hỏi hải có bao nhiêu quả dứa?","ownership"
"tổng số cam và táo của hoa là 15 quả, hoa có 6 quả cam. Hỏi hoa có bao nhiêu quả táo?","ownership"
"tổng số dâu và kiwi của mai là 20 quả, mai có 12 quả dâu. Hỏi mai có bao nhiêu quả kiwi?","ownership"
"tổng số xoài và bưởi của nam là 25 quả, nam có 15 quả xoài. Hỏi nam có bao nhiêu quả bưởi?","ownership"
"tích số cam và táo của phương là 36 quả, phương có 6 quả cam. Hỏi phương có bao nhiêu quả táo?","ownership"
"tích số dâu và kiwi của hải là 48 quả, hải có 8 quả dâu. Hỏi hải có bao nhiêu quả kiwi?","ownership"
"tích số xoài và bưởi của tâm là 54 quả, tâm có 9 quả xoài. Hỏi tâm có bao nhiêu quả bưởi?","ownership"
"hiệu số cam và táo của yến là 5 quả, yến có 12 quả cam. Hỏi yến có bao nhiêu quả táo?","ownership"
"hiệu số dâu và kiwi của ngọc là 8 quả, ngọc có 15 quả dâu. Hỏi ngọc có bao nhiêu quả kiwi?","ownership"
"hiệu số xoài và bưởi của hương là 6 quả, hương có 20 quả xoài. Hỏi hương có bao nhiêu quả bưởi?","ownership"
"thương số cam và táo của hạnh là 15 quả, hạnh có 3 quả cam. Hỏi hạnh có bao nhiêu quả táo?","ownership"
"thương số dâu và kiwi của quân là 24 quả, quân có 6 quả dâu. Hỏi quân có bao nhiêu quả kiwi?","ownership"
"thương số xoài và bưởi của minh là 35 quả, minh có 5 quả xoài. Hỏi minh có bao nhiêu quả bưởi?","ownership"

"1 con gà có 3 cái chân,5 con gà có mấy cái chân?","ratio"
"1 quả khế có 5 cánh,3 quả khế có mấy cánh?","ratio"
"5 con gà đẻ 5 quả trứng,10 con gà đẻ bao nhiêu quả trứng?","ratio"
"2 cái bánh có 8 miếng,6 cái bánh có bao nhiêu miếng?","ratio"
"1 con chó có 4 chân,4 con chó có mấy chân?","ratio"
"3 con mèo có 12 cái răng,9 con mèo có mấy cái răng?","ratio"
"2 con vịt có 8 cái cánh,10 con vịt có bao nhiêu cái cánh?","ratio"
"1 con bướm có 4 cánh,7 con bướm có mấy cánh?","ratio"
